行号,本地化键名,原文,原译文,现译文
2059,advancements.thebetweenlands.adventurer.root.title,Adventurer,沼泽历险,冒险家
2060,advancements.thebetweenlands.adventurer.root.description,The beginning of The Betweenlands Adventure,黑暗沼泽之旅的起点,交错次元之旅的起点
2062,advancements.thebetweenlands.adventurer.give_me_that.description,Obtain the Swamp Talisman,获得沼泽护身符,获得沼泽魔符
2064,advancements.thebetweenlands.adventurer.dank_world.description,Step through the Portal Tree,穿过传送树之门到达交错次元,穿过传送树门到达交错次元
2065,advancements.thebetweenlands.adventurer.pothead.title,Pothead,砸罐子成瘾者,砸罐成瘾者
2068,advancements.thebetweenlands.adventurer.enter_the_stronghold.description,Find a Wight Fortress,找到一座鬼魂城堡,找到一座阴魂要塞
2070,advancements.thebetweenlands.adventurer.big_wood.description,Find a Giant Weedwood Tree,找到一棵巨型杂草树,找到一棵巨型杂草木树
2072,advancements.thebetweenlands.adventurer.ruined_it.description,Discover some Ruins,发现遗迹,发现废墟
2074,advancements.thebetweenlands.adventurer.idolised.description,Discover an Idol Head,发现一个峭壁岩头颅,发现一个峭壁岩头雕
2077,advancements.thebetweenlands.adventurer.cookie_crumbles.title,How the Cookie Crumbles,它怎么倒了,它是怎么碎的
2079,advancements.thebetweenlands.adventurer.environmentalist.title,Environmentalist,和环保主义者友好交谈,环保主义者
2092,advancements.thebetweenlands.adventurer.light_the_braziers.description,Find a Sludgeon Tower,找到一座泥沼谜塔,找到一座污泥巨塔
2094,advancements.thebetweenlands.adventurer.a_real_poopy_experience.description,Enter the Labyrinthine Vaults,进入泥沼迷宫,进入污泥迷宫
2121,advancements.thebetweenlands.fighter.root.title,Fighter,沼泽斗士,战斗者
2132,advancements.thebetweenlands.fighter.fashionable_warrior.description,Upgrade a weapon or armor piece with a Middle Gem,用一块元素宝石升级你的武器或护甲,用一块元素宝石升级你的武器或盔甲零件
2133,advancements.thebetweenlands.fighter.crowd_control.title,Crowd Control,控制技能,群体强控
2134,advancements.thebetweenlands.fighter.crowd_control.description,Knock back three Swamp Hags in a row with a Syrmorite Shield,用赛摩铜盾撞退一排3个沼泽怪,用赛摩盾牌撞退一排3个沼泽巫尸
2136,advancements.thebetweenlands.fighter.cling_bling.description,Wear an Amulet,佩戴一个护身符,佩戴一个护符
2138,advancements.thebetweenlands.fighter.fearless_fighter.description,"Slay a Swamp Hag, a Wight, a Tar Beast, a Sludge, and a Peat Mummy",击杀沼泽怪、阴魂、焦油怪、烂泥怪和泥炭木乃伊各一只,击杀沼泽巫尸、阴魂、焦油兽、污泥怪和泥炭木乃伊各一只
2140,advancements.thebetweenlands.fighter.beating_dead_meat.description,Defeat a Dreadful Peat Mummy,击败一只恐怖的泥炭木乃伊,击败一只恐虐泥炭木乃伊
2141,advancements.thebetweenlands.fighter.hag_hater.title,Hag Hater,魔怪杀手,猎尸人
2142,advancements.thebetweenlands.fighter.hag_hater.description,Slay a Swamp Hag with a Hag Hacker,用沼泽怪杀手击杀沼泽怪,用巫尸狩猎者击杀沼泽巫尸
2144,advancements.thebetweenlands.fighter.critical_hit.description,Slay a critter with a Critter Cruncher,用爬虫杀手击杀昆虫,用爬虫打击者击杀昆虫
2146,advancements.thebetweenlands.fighter.whhyyy.description,Slay a Wight with a Wight's Bane,用鬼魂杀手击杀阴魂,用阴魂之克星击杀阴魂
2148,advancements.thebetweenlands.fighter.sticky_situation.description,Slay a Sludge with a Sludge Slicer,用污泥长矛击杀烂泥怪,用污泥收割者击杀污泥怪
2150,advancements.thebetweenlands.fighter.glorified_toothpick.description,Obtain the Shockwave Sword,得到冲击波剑,得到震波剑
2152,advancements.thebetweenlands.fighter.do_the_wave.description,Slay three enemies using a shockwave,用一次冲击波攻击杀死三个怪物,用一次震波攻击杀死三个怪物
2158,advancements.thebetweenlands.fighter.secret_of_the_crypt.description,Obtain the Ancient Greatsword,获得上古巨剑,远古巨剑
2167,advancements.thebetweenlands.farmer.root.title,Farmer,沼泽农夫,农场主
2169,advancements.thebetweenlands.farmer.mr_compost.title,Mr. Compost,Compost 先生,Mr. Compost
2172,advancements.thebetweenlands.farmer.now_kiss.description,Breed together two Mire Snails,给两只泥潭蜗牛喂食泥浆球,给两只泥潭蜗牛喂食污泥球
2176,advancements.thebetweenlands.farmer.necrofarmer.description,Feed your decayed crops some Plant Tonic,用植物营养剂治疗腐化的作物,用植物营养液治疗被残蚀的作物
2178,advancements.thebetweenlands.farmer.sporadically_radical.description,Grow and harvest Yellow Dotted Fungi Spores,种植黄点蘑菇孢子并收获黄点蘑菇,种植黄点菌的孢子并收获黄点菌
2180,advancements.thebetweenlands.farmer.lively_crops.description,Let a Sporeling hatch from your crops,让蘑菇精灵从你的作物里孵化出来,让蘑菇孢灵从你的作物里孵化出来
2181,advancements.thebetweenlands.farmer.mushroom_master.title,Mushroom Master,蘑菇怪,蘑菇大师
2188,advancements.thebetweenlands.farmer.pure_and_dirty.description,Use Purified Swamp Dirt for your farm,将净化的沼泽土用于种植,将净化沼泽泥土用于种植
2205,advancements.thebetweenlands.herbalist.root.title,Herbalist,炼药大师,药草师
2206,advancements.thebetweenlands.herbalist.root.description,Herbal testing,从植物汲取大自然的力量,从植物中汲取自然之力
2213,advancements.thebetweenlands.herbalist.bookworms.title,Bookworms,蛀书虫,书呆子
2227,advancements.thebetweenlands.survivalist.root.title,Survivalist,生存专家,求生徒
2230,advancements.thebetweenlands.survivalist.a_cure.description,Collect Balls of Sap,收集凝胶球,收集凝汁球
2231,advancements.thebetweenlands.survivalist.say_nay_to_decay.title,Say 'Nay' to Decay,对腐蚀说不,对残蚀说不
2232,advancements.thebetweenlands.survivalist.say_nay_to_decay.description,Collect Weeping Blue Petals,收集哭泣蓝花瓣,收集哭泣蓝花花瓣
2236,advancements.thebetweenlands.survivalist.hardcore_munchies.description,Consume some Chiromaw Wings,吃下一个翼手怪的翅膀,吃下一个翼手翅膀
2237,advancements.thebetweenlands.survivalist.diwitted.title,Dimwitted,傻眼了吗,傻眼了吧
