Key,en_us,zh_cn-old,zh_cn
general.evilcraft.description,An evil mod for Minecraft., Minecraft的邪恶模组。,Minecraft的一个邪恶模组。
subtitles.evilcraft.effect.box.beam,Box of Eternal Closure Beam,永恒灵魂箱光束,永锢之匣光束
subtitles.evilcraft.effect.page.flipsingle,Flip Page,翻页,翻页声
subtitles.evilcraft.effect.page.flipmultiple,Flip Pages,翻多页,连续翻页声
block.evilcraft.lightning_bomb,Lightning Bomb,雷电炸弹,雷击炸弹
block.evilcraft.excrement_pile,Excrement Pile,一堆粪便,粪便堆
block.evilcraft.excrement_pile.info,Will form below animals.,会在动物下方形成,会在动物下方形成。
block.evilcraft.hardened_blood,Hardened Blood,凝固的血块,硬化血液
block.evilcraft.hardened_blood.info,Dried Blood. Liquidifies with rain or by breaking it.,已经干了的血，被淋湿或者破坏会重新流动。,已经干了的血液。淋雨或被破坏会重新变为流体。
block.evilcraft.obscured_glass,Obscured Glass,毛玻璃,阻光玻璃
block.evilcraft.environmental_accumulator,Environmental Accumulator,环境储存器,环境蓄积器
block.evilcraft.undead_leaves,Undead Leaves,亡灵树树叶,亡灵树叶
block.evilcraft.undead_log,Undead Log,亡灵木原木,亡灵原木
block.evilcraft.undead_log_stripped,Stripped Undead Log,去皮亡灵木原木,去皮亡灵原木
block.evilcraft.undead_sapling,Undead Sapling,亡灵树树苗,亡灵树苗
block.evilcraft.undead_planks,Undead Plank,亡灵木木板,亡灵木板
block.evilcraft.dark_blood_brick,Dark Blood Brick,沾满血的暗黑砖,暗黑血砖
block.evilcraft.spirit_furnace.info,Cook Vengeance Spirits to obtain their drops.,用来搭建灵魂炉，烹饪复仇之魂以获得它们的掉落物。,烹饪复仇之魂以获得其掉落物。
block.evilcraft.spirit_furnace.help.invalid.no_entity,Empty or no box,没有或空的灵魂箱,缺少永锢之匣/永锢之匣为空
block.evilcraft.spirit_furnace.help.invalid.caught_error,Invalid mob spirit. Contact mod dev(s).,无效生物灵魂。请联系mod开发者,无效生物灵魂。请联系模组开发者。
block.evilcraft.box_of_eternal_closure,Box of Eternal Closure,永恒灵魂箱,永锢之匣
